,RLG Index,RLV Index,VIX Index,,,,RLG Index,RLV Index,,,,,,,,,,
,PX_LAST,PX_LAST,PX_LAST,Spread,,,Return,Return,,,,,,,,,,
#NAME?,200.00,#NAME?,#NAME?,,,,,,,,,,,,,,,
9/1/92,201.17,200.83,13.40,#NAME?,,,0.58%,#NAME?,,,vix_index,r_growth_(t-1),r_value_(t-1),p_growth_(t-1),p_value_(t-1),p_joint_(t-1),p_spread_(t-1),spread
4/1/93,211.05,230.11,13.02,0.25%,,,-0.48%,-0.23%,,4/1/93,12.53%,0.0519%,0.0781%,50.6881%,#NAME?,39.20%,#NAME?,0.2508%
4/2/93,205.84,226.34,14.50,0.83%,,,-2.47%,-1.64%,,4/2/93,13.02%,-0.4763%,-0.2255%,35.1486%,#NAME?,19.48%,#NAME?,0.8303%
4/5/93,205.52,227.56,14.12,0.69%,,,-0.16%,0.54%,,4/5/93,14.50%,-2.4686%,-1.6383%,2.9734%,#NAME?,1.57%,#NAME?,0.6945%
4/6/93,203.67,228.20,14.24,1.18%,,,-0.90%,0.28%,,4/6/93,14.12%,-0.1555%,0.5390%,44.4637%,#NAME?,37.22%,#NAME?,1.1814%
4/7/93,203.95,229.67,13.64,0.51%,,,0.14%,0.64%,,4/7/93,14.24%,-0.9002%,0.2812%,24.1599%,#NAME?,15.42%,#NAME?,0.5067%
4/8/93,202.78,229.82,12.83,0.64%,,,-0.57%,0.07%,,4/8/93,13.64%,0.1375%,0.6442%,53.2608%,#NAME?,51.93%,#NAME?,0.6390%
4/9/93,202.78,229.82,12.83,0.00%,,,0.00%,0.00%,,4/9/93,12.83%,-0.5737%,0.0653%,32.4626%,#NAME?,21.03%,#NAME?,0.0000%
4/12/93,206.14,232.49,11.93,-0.50%,,,1.66%,1.16%,,4/12/93,12.83%,0.0000%,0.0000%,49.1258%,#NAME?,35.29%,#NAME?,-0.4952%
4/13/93,206.34,233.77,11.70,0.45%,,,0.10%,0.55%,,4/13/93,11.93%,1.6570%,1.1618%,89.0357%,#NAME?,87.78%,#NAME?,0.4535%
4/14/93,206.01,233.87,11.76,0.20%,,,-0.16%,0.04%,,4/14/93,11.70%,0.0970%,0.5506%,52.0456%,#NAME?,49.30%,#NAME?,0.2027%
4/15/93,205.75,233.65,10.96,0.03%,,,-0.13%,-0.09%,,4/15/93,11.76%,-0.1599%,0.0428%,44.3305%,#NAME?,31.68%,#NAME?,0.0321%
4/16/93,204.85,234.91,11.29,0.98%,,,-0.44%,0.54%,,4/16/93,10.96%,-0.1262%,-0.0941%,45.3371%,#NAME?,29.24%,#NAME?,0.9767%
4/19/93,204.81,233.34,12.06,-0.65%,,,-0.02%,-0.67%,,4/19/93,11.29%,-0.4374%,0.5393%,36.2422%,#NAME?,26.71%,#NAME?,-0.6488%
4/20/93,204.25,231.52,11.94,-0.51%,,,-0.27%,-0.78%,,4/20/93,12.06%,-0.0195%,-0.6683%,48.5383%,#NAME?,16.61%,#NAME?,-0.5066%
4/21/93,204.31,230.18,12.11,-0.61%,,,0.03%,-0.58%,,4/21/93,11.94%,-0.2734%,-0.7800%,40.9730%,#NAME?,13.18%,#NAME?,-0.6082%
4/22/93,202.18,228.41,12.68,0.27%,,,-1.04%,-0.77%,,4/22/93,12.11%,0.0294%,-0.5788%,50.0101%,#NAME?,18.79%,#NAME?,0.2736%
4/23/93,200.99,226.93,13.36,-0.06%,,,-0.59%,-0.65%,,4/23/93,12.68%,-1.0425%,-0.7690%,20.9371%,#NAME?,8.25%,#NAME?,-0.0594%
4/26/93,199.81,223.94,15.25,-0.73%,,,-0.59%,-1.32%,,4/26/93,13.36%,-0.5886%,-0.6480%,32.0587%,#NAME?,12.48%,#NAME?,-0.7305%
4/27/93,202.65,225.42,13.93,-0.76%,,,1.42%,0.66%,,4/27/93,15.25%,-0.5871%,-1.3176%,32.0990%,#NAME?,6.48%,#NAME?,-0.7605%
4/28/93,202.49,225.95,13.12,0.31%,,,-0.08%,0.24%,,4/28/93,13.93%,1.4214%,0.6609%,85.3286%,#NAME?,76.86%,#NAME?,0.3141%
4/29/93,202.64,226.54,12.80,0.19%,,,0.07%,0.26%,,4/29/93,13.12%,-0.0790%,0.2351%,46.7525%,#NAME?,37.94%,#NAME?,0.1870%
4/30/93,203.49,227.23,12.42,-0.11%,,,0.42%,0.30%,,4/30/93,12.80%,0.0741%,0.2611%,51.3556%,#NAME?,44.42%,#NAME?,-0.1149%
5/3/93,205.16,228.05,12.90,-0.46%,,,0.82%,0.36%,,5/3/93,12.42%,0.4195%,0.3046%,61.5855%,#NAME?,55.58%,#NAME?,-0.4598%
5/4/93,205.75,229.30,12.14,0.26%,,,0.29%,0.55%,,5/4/93,12.90%,0.8207%,0.3609%,72.4869%,#NAME?,63.40%,#NAME?,0.2605%
5/5/93,206.88,228.94,12.38,-0.71%,,,0.55%,-0.16%,,5/5/93,12.14%,0.2876%,0.5481%,57.7340%,#NAME?,56.99%,#NAME?,-0.7062%
5/6/93,206.32,227.98,13.22,-0.15%,,,-0.27%,-0.42%,,5/6/93,12.38%,0.5492%,-0.1570%,65.2662%,#NAME?,35.96%,#NAME?,-0.1486%
5/7/93,206.19,227.24,13.01,-0.26%,,,-0.06%,-0.32%,,5/7/93,13.22%,-0.2707%,-0.4193%,41.0533%,#NAME?,19.22%,#NAME?,-0.2616%
5/10/93,206.42,227.83,13.72,0.15%,,,0.11%,0.26%,,5/10/93,13.01%,-0.0630%,-0.3246%,47.2312%,#NAME?,24.20%,#NAME?,0.1481%
5/11/93,206.85,228.94,13.35,0.28%,,,0.21%,0.49%,,5/11/93,13.72%,0.1115%,0.2596%,52.4822%,#NAME?,45.77%,#NAME?,0.2789%
5/12/93,206.45,229.38,13.56,0.39%,,,-0.19%,0.19%,,5/12/93,13.35%,0.2083%,0.4872%,55.3804%,#NAME?,53.25%,#NAME?,0.3856%
5/13/93,203.69,226.56,14.76,0.11%,,,-1.34%,-1.23%,,5/13/93,13.56%,-0.1934%,0.1922%,43.3357%,#NAME?,33.07%,#NAME?,0.1075%
5/14/93,204.90,225.13,14.39,-1.23%,,,0.59%,-0.63%,,5/14/93,14.76%,-1.3369%,-1.2294%,15.1336%,#NAME?,4.80%,#NAME?,-1.2252%
5/17/93,205.87,224.79,14.13,-0.62%,,,0.47%,-0.15%,,5/17/93,14.39%,0.5940%,-0.6312%,66.5072%,#NAME?,19.01%,#NAME?,-0.6244%
5/18/93,206.06,224.68,14.19,-0.14%,,,0.09%,-0.05%,,5/18/93,14.13%,0.4734%,-0.1510%,63.1306%,#NAME?,35.88%,#NAME?,-0.1412%
5/19/93,209.80,227.79,14.29,-0.43%,,,1.82%,1.38%,,5/19/93,14.19%,0.0923%,-0.0489%,51.9034%,#NAME?,35.85%,#NAME?,-0.4308%
5/20/93,211.66,228.97,13.98,-0.37%,,,0.89%,0.52%,,5/20/93,14.29%,1.8150%,1.3842%,91.1120%,#NAME?,90.63%,#NAME?,-0.3685%
5/21/93,209.48,227.06,14.51,0.20%,,,-1.03%,-0.83%,,5/21/93,13.98%,0.8866%,0.5180%,74.1210%,#NAME?,69.18%,#NAME?,0.1958%
5/24/93,210.18,228.03,14.10,0.09%,,,0.33%,0.43%,,5/24/93,14.51%,-1.0300%,-0.8342%,21.2112%,#NAME?,7.92%,#NAME?,0.0930%
5/25/93,210.50,228.64,14.04,0.12%,,,0.15%,0.27%,,5/25/93,14.10%,0.3342%,0.4272%,59.1048%,#NAME?,56.45%,#NAME?,0.1153%
5/26/93,211.99,231.83,12.88,0.69%,,,0.71%,1.40%,,5/26/93,14.04%,0.1523%,0.2675%,53.7038%,#NAME?,47.35%,#NAME?,0.6874%
5/27/93,210.74,232.11,13.10,0.71%,,,-0.59%,0.12%,,5/27/93,12.88%,0.7078%,1.3952%,69.5751%,#NAME?,77.00%,#NAME?,0.7104%
5/28/93,210.00,230.97,13.47,-0.14%,,,-0.35%,-0.49%,,5/28/93,13.10%,-0.5897%,0.1208%,32.0299%,#NAME?,21.06%,#NAME?,-0.1400%
5/31/93,210.00,230.97,13.47,0.00%,,,0.00%,0.00%,,5/31/93,13.47%,-0.3511%,-0.4911%,38.7100%,#NAME?,16.98%,#NAME?,0.0000%
6/1/93,211.26,233.05,13.67,0.30%,,,0.60%,0.90%,,6/1/93,13.47%,0.0000%,0.0000%,49.1258%,#NAME?,35.29%,#NAME?,0.3005%
6/2/93,211.02,233.30,13.48,0.22%,,,-0.11%,0.11%,,6/2/93,13.67%,0.6000%,0.9005%,66.6709%,#NAME?,71.08%,#NAME?,0.2209%
6/3/93,210.11,233.08,13.54,0.34%,,,-0.43%,-0.09%,,6/3/93,13.48%,-0.1136%,0.1073%,45.7141%,#NAME?,34.49%,#NAME?,0.3369%
6/4/93,208.56,231.98,12.86,0.27%,,,-0.74%,-0.47%,,6/4/93,13.54%,-0.4312%,-0.0943%,36.4174%,#NAME?,22.33%,#NAME?,0.2658%
6/7/93,207.06,230.59,14.07,0.12%,,,-0.72%,-0.60%,,6/7/93,12.86%,-0.7377%,-0.4719%,28.1434%,#NAME?,12.93%,#NAME?,0.1200%
6/8/93,205.63,228.95,14.74,-0.02%,,,-0.69%,-0.71%,,6/8/93,14.07%,-0.7192%,-0.5992%,28.6162%,#NAME?,11.85%,#NAME?,-0.0206%
6/9/93,205.94,229.82,13.96,0.23%,,,0.15%,0.38%,,6/9/93,14.74%,-0.6906%,-0.7112%,29.3546%,#NAME?,11.00%,#NAME?,0.2292%
6/10/93,206.07,229.20,13.31,-0.33%,,,0.06%,-0.27%,,6/10/93,13.96%,0.1508%,0.3800%,53.6590%,#NAME?,49.44%,#NAME?,-0.3329%
6/11/93,207.28,229.93,12.71,-0.27%,,,0.59%,0.32%,,6/11/93,13.31%,0.0631%,-0.2698%,51.0260%,#NAME?,27.54%,#NAME?,-0.2687%
6/14/93,207.74,230.02,12.33,-0.18%,,,0.22%,0.04%,,6/14/93,12.71%,0.5872%,0.3185%,66.3184%,#NAME?,59.12%,#NAME?,-0.1828%
6/15/93,206.98,229.80,11.99,0.27%,,,-0.37%,-0.10%,,6/15/93,12.33%,0.2219%,0.0391%,55.7861%,#NAME?,41.98%,#NAME?,0.2702%
6/16/93,207.70,230.23,11.87,-0.16%,,,0.35%,0.19%,,6/16/93,11.99%,-0.3658%,-0.0956%,38.2861%,#NAME?,23.71%,#NAME?,-0.1607%
6/17/93,208.04,230.89,11.66,0.12%,,,0.16%,0.29%,,6/17/93,11.87%,0.3479%,0.1871%,59.5060%,#NAME?,50.24%,#NAME?,0.1230%
6/18/93,205.14,229.45,12.24,0.77%,,,-1.39%,-0.62%,,6/18/93,11.66%,0.1637%,0.2867%,54.0468%,#NAME?,48.15%,#NAME?,0.7703%
6/21/93,205.54,231.42,12.25,0.66%,,,0.19%,0.86%,,6/21/93,12.24%,-1.3940%,-0.6237%,14.1458%,#NAME?,7.01%,#NAME?,0.6636%
6/22/93,205.01,231.77,11.65,0.41%,,,-0.26%,0.15%,,6/22/93,12.25%,0.1950%,0.8586%,54.9827%,#NAME?,55.88%,#NAME?,0.4091%
6/23/93,204.26,230.32,12.04,-0.26%,,,-0.37%,-0.63%,,6/23/93,11.65%,-0.2579%,0.1512%,41.4302%,#NAME?,30.42%,#NAME?,-0.2598%
6/24/93,205.93,231.83,12.25,-0.16%,,,0.82%,0.66%,,6/24/93,12.04%,-0.3658%,-0.6256%,38.2862%,#NAME?,14.71%,#NAME?,-0.1620%
6/25/93,206.70,232.31,11.25,-0.17%,,,0.37%,0.21%,,6/25/93,12.25%,0.8176%,0.6556%,72.4089%,#NAME?,71.79%,#NAME?,-0.1669%
6/28/93,208.25,235.61,11.11,0.67%,,,0.75%,1.42%,,6/28/93,11.25%,0.3739%,0.2070%,60.2661%,#NAME?,51.47%,#NAME?,0.6706%
6/29/93,208.09,234.81,11.29,-0.26%,,,-0.08%,-0.34%,,6/29/93,11.11%,0.7499%,1.4205%,70.6759%,#NAME?,78.16%,#NAME?,-0.2627%
6/30/93,207.49,235.55,11.26,0.60%,,,-0.29%,0.32%,,6/30/93,11.29%,-0.0768%,-0.3395%,46.8162%,#NAME?,23.62%,#NAME?,0.6035%
7/1/93,206.50,235.49,11.51,0.45%,,,-0.48%,-0.03%,,7/1/93,11.26%,-0.2883%,0.3151%,40.5362%,#NAME?,30.87%,#NAME?,0.4517%
7/2/93,205.51,233.68,11.33,-0.29%,,,-0.48%,-0.77%,,7/2/93,11.51%,-0.4771%,-0.0255%,35.1247%,#NAME?,22.30%,#NAME?,-0.2892%
7/5/93,205.51,233.68,11.33,0.00%,,,0.00%,0.00%,,7/5/93,11.33%,-0.4794%,-0.7686%,35.0607%,#NAME?,11.96%,#NAME?,0.0000%
7/6/93,203.06,232.41,13.87,0.65%,,,-1.19%,-0.54%,,7/6/93,11.33%,0.0000%,0.0000%,49.1258%,#NAME?,35.29%,#NAME?,0.6487%
7/7/93,203.33,233.08,13.05,0.16%,,,0.13%,0.29%,,7/7/93,13.87%,-1.1922%,-0.5435%,17.8392%,#NAME?,8.61%,#NAME?,0.1553%
7/8/93,205.69,235.94,12.24,0.07%,,,1.16%,1.23%,,7/8/93,13.05%,0.1330%,0.2883%,53.1254%,#NAME?,47.12%,#NAME?,0.0664%
7/9/93,205.77,235.72,10.80,-0.13%,,,0.04%,-0.09%,,7/9/93,12.24%,1.1607%,1.2270%,80.3427%,#NAME?,84.51%,#NAME?,-0.1321%
7/12/93,206.32,235.88,10.85,-0.20%,,,0.27%,0.07%,,7/12/93,10.80%,0.0389%,-0.0932%,50.2966%,#NAME?,33.10%,#NAME?,-0.1994%
7/13/93,206.53,235.12,11.02,-0.42%,,,0.10%,-0.32%,,7/13/93,10.85%,0.2673%,0.0679%,57.1338%,#NAME?,44.04%,#NAME?,-0.4240%
7/14/93,207.81,235.66,10.78,-0.39%,,,0.62%,0.23%,,7/14/93,11.02%,0.1018%,-0.3222%,52.1888%,#NAME?,26.33%,#NAME?,-0.3901%
7/15/93,207.24,235.39,10.60,0.16%,,,-0.27%,-0.11%,,7/15/93,10.78%,0.6198%,0.2297%,67.2114%,#NAME?,56.23%,#NAME?,0.1597%
7/16/93,204.89,234.53,10.96,0.77%,,,-1.13%,-0.37%,,7/16/93,10.60%,-0.2743%,-0.1146%,40.9477%,#NAME?,25.34%,#NAME?,0.7686%
7/19/93,204.13,235.03,11.46,0.58%,,,-0.37%,0.21%,,7/19/93,10.96%,-1.1340%,-0.3654%,19.0083%,#NAME?,10.01%,#NAME?,0.5841%
7/20/93,205.22,235.13,11.05,-0.49%,,,0.53%,0.04%,,7/20/93,11.46%,-0.3709%,0.2132%,38.1396%,#NAME?,27.52%,#NAME?,-0.4914%
7/21/93,204.55,235.51,11.97,0.49%,,,-0.33%,0.16%,,7/21/93,11.05%,0.5340%,0.0425%,64.8406%,#NAME?,46.42%,#NAME?,0.4881%
7/22/93,202.95,234.56,11.69,0.38%,,,-0.78%,-0.40%,,7/22/93,11.97%,-0.3265%,0.1616%,39.4244%,#NAME?,28.42%,#NAME?,0.3788%
7/23/93,204.15,235.73,11.32,-0.09%,,,0.59%,0.50%,,7/23/93,11.69%,-0.7822%,-0.4034%,27.0215%,#NAME?,13.12%,#NAME?,-0.0925%
7/26/93,204.99,237.22,11.32,0.22%,,,0.41%,0.63%,,7/26/93,11.32%,0.5913%,0.4988%,66.4313%,#NAME?,64.40%,#NAME?,0.2206%
7/27/93,204.33,236.91,11.34,0.19%,,,-0.32%,-0.13%,,7/27/93,11.32%,0.4115%,0.6321%,61.3546%,#NAME?,62.30%,#NAME?,0.1913%
7/28/93,204.01,236.61,11.37,0.03%,,,-0.16%,-0.13%,,7/28/93,11.34%,-0.3220%,-0.1307%,39.5555%,#NAME?,24.00%,#NAME?,0.0300%
7/29/93,205.00,238.26,11.25,0.21%,,,0.49%,0.70%,,7/29/93,11.37%,-0.1566%,-0.1266%,44.4294%,#NAME?,27.68%,#NAME?,0.2121%
7/30/93,203.77,237.75,11.73,0.39%,,,-0.60%,-0.21%,,7/30/93,11.25%,0.4853%,0.6974%,63.4678%,#NAME?,65.44%,#NAME?,0.3859%
8/2/93,204.78,238.55,11.47,-0.16%,,,0.50%,0.34%,,8/2/93,11.73%,-0.6000%,-0.2141%,31.7511%,#NAME?,17.55%,#NAME?,-0.1592%
8/3/93,204.67,238.17,11.49,-0.11%,,,-0.05%,-0.16%,,8/3/93,11.47%,0.4957%,0.3365%,63.7621%,#NAME?,58.11%,#NAME?,-0.1056%
8/4/93,204.65,237.91,11.71,-0.10%,,,-0.01%,-0.11%,,8/4/93,11.49%,-0.0537%,-0.1593%,47.5103%,#NAME?,29.01%,#NAME?,-0.0994%
8/5/93,204.74,237.50,12.03,-0.22%,,,0.04%,-0.17%,,8/5/93,11.71%,-0.0098%,-0.1092%,48.8318%,#NAME?,31.51%,#NAME?,-0.2163%
8/6/93,205.00,237.79,12.33,0.00%,,,0.13%,0.12%,,8/6/93,12.03%,0.0440%,-0.1723%,50.4497%,#NAME?,30.46%,#NAME?,-0.0049%
8/9/93,205.73,239.14,12.39,0.21%,,,0.36%,0.57%,,8/9/93,12.33%,0.1270%,0.1221%,52.9460%,#NAME?,42.74%,#NAME?,0.2116%
8/10/93,204.85,239.12,12.31,0.42%,,,-0.43%,-0.01%,,8/10/93,12.39%,0.3561%,0.5677%,59.7467%,#NAME?,59.59%,#NAME?,0.4194%
8/11/93,205.08,239.57,12.07,0.08%,,,0.11%,0.19%,,8/11/93,12.31%,-0.4277%,-0.0084%,36.5164%,#NAME?,23.67%,#NAME?,0.0759%
8/12/93,204.03,239.22,12.38,0.37%,,,-0.51%,-0.15%,,8/12/93,12.07%,0.1123%,0.1882%,52.5041%,#NAME?,44.15%,#NAME?,0.3659%
8/13/93,204.46,239.63,12.19,-0.04%,,,0.21%,0.17%,,8/13/93,12.38%,-0.5120%,-0.1461%,34.1540%,#NAME?,19.97%,#NAME?,-0.0394%
8/16/93,205.90,240.25,12.01,-0.45%,,,0.70%,0.26%,,8/16/93,12.19%,0.2108%,0.1714%,55.4532%,#NAME?,46.55%,#NAME?,-0.4456%
8/17/93,207.47,239.91,11.59,-0.90%,,,0.76%,-0.14%,,8/17/93,12.01%,0.7043%,0.2587%,69.4815%,#NAME?,58.34%,#NAME?,-0.9040%
8/18/93,209.60,240.24,11.52,-0.89%,,,1.03%,0.14%,,8/18/93,11.59%,0.7625%,-0.1415%,71.0029%,#NAME?,37.40%,#NAME?,-0.8891%
8/19/93,209.55,240.39,11.63,0.09%,,,-0.02%,0.06%,,8/19/93,11.52%,1.0267%,0.1376%,77.4214%,#NAME?,54.29%,#NAME?,0.0863%
8/20/93,209.51,240.30,11.62,-0.02%,,,-0.02%,-0.04%,,8/20/93,11.63%,-0.0239%,0.0624%,48.4081%,#NAME?,36.41%,#NAME?,-0.0184%
8/23/93,208.77,240.38,12.15,0.39%,,,-0.35%,0.03%,,8/23/93,11.62%,-0.0191%,-0.0374%,48.5515%,#NAME?,33.60%,#NAME?,0.3865%
8/24/93,210.49,242.84,11.80,0.20%,,,0.82%,1.02%,,8/24/93,12.15%,-0.3532%,0.0333%,38.6505%,#NAME?,26.10%,#NAME?,0.1995%
8/25/93,209.93,243.73,12.10,0.63%,,,-0.27%,0.37%,,8/25/93,11.80%,0.8239%,1.0234%,72.5673%,#NAME?,77.45%,#NAME?,0.6325%
8/26/93,209.88,244.49,12.14,0.34%,,,-0.02%,0.31%,,8/26/93,12.10%,-0.2660%,0.3665%,41.1896%,#NAME?,31.96%,#NAME?,0.3356%
8/27/93,210.23,243.58,11.91,-0.54%,,,0.17%,-0.37%,,8/27/93,12.14%,-0.0238%,0.3118%,48.4092%,#NAME?,41.27%,#NAME?,-0.5390%
8/30/93,210.87,244.22,11.74,-0.04%,,,0.30%,0.26%,,8/30/93,11.91%,0.1668%,-0.3722%,54.1385%,#NAME?,25.32%,#NAME?,-0.0417%
8/31/93,211.58,245.30,11.85,0.11%,,,0.34%,0.44%,,8/31/93,11.74%,0.3044%,0.2627%,58.2310%,#NAME?,51.67%,#NAME?,0.1055%
9/1/93,211.55,245.28,11.48,0.01%,,,-0.01%,-0.01%,,9/1/93,11.85%,0.3367%,0.4422%,59.1793%,#NAME?,56.83%,#NAME?,0.0060%
9/2/93,211.37,244.14,11.87,-0.38%,,,-0.09%,-0.46%,,9/2/93,11.48%,-0.0142%,-0.0082%,48.6992%,#NAME?,34.65%,#NAME?,-0.3797%
9/3/93,211.20,244.42,11.16,0.20%,,,-0.08%,0.11%,,9/3/93,11.87%,-0.0851%,-0.4648%,46.5686%,#NAME?,20.45%,#NAME?,0.1951%
9/6/93,211.20,244.42,11.16,0.00%,,,0.00%,0.00%,,9/6/93,11.16%,-0.0804%,0.1147%,46.7083%,#NAME?,35.78%,#NAME?,0.0000%
9/7/93,209.03,243.58,12.90,0.68%,,,-1.03%,-0.34%,,9/7/93,11.16%,0.0000%,0.0000%,49.1258%,#NAME?,35.29%,#NAME?,0.6838%
9/8/93,207.53,242.71,13.24,0.36%,,,-0.72%,-0.36%,,9/8/93,12.90%,-1.0275%,-0.3437%,21.2658%,#NAME?,11.08%,#NAME?,0.3604%
9/9/93,207.93,243.51,12.67,0.14%,,,0.19%,0.33%,,9/9/93,13.24%,-0.7176%,-0.3572%,28.6577%,#NAME?,14.31%,#NAME?,0.1369%
9/10/93,209.47,246.19,11.70,0.36%,,,0.74%,1.10%,,9/10/93,12.67%,0.1927%,0.3296%,54.9156%,#NAME?,50.02%,#NAME?,0.3599%
9/13/93,209.04,246.90,12.16,0.49%,,,-0.21%,0.29%,,9/13/93,11.70%,0.7406%,1.1006%,70.4354%,#NAME?,76.39%,#NAME?,0.4937%
9/14/93,208.34,245.20,13.15,-0.35%,,,-0.33%,-0.69%,,9/14/93,12.16%,-0.2053%,0.2884%,42.9826%,#NAME?,33.64%,#NAME?,-0.3537%
9/15/93,209.22,245.86,12.70,-0.15%,,,0.42%,0.27%,,9/15/93,13.15%,-0.3349%,-0.6885%,39.1811%,#NAME?,14.05%,#NAME?,-0.1532%
9/16/93,208.55,245.07,13.36,0.00%,,,-0.32%,-0.32%,,9/16/93,12.70%,0.4224%,0.2692%,61.6697%,#NAME?,54.54%,#NAME?,-0.0011%
9/17/93,208.22,244.89,13.39,0.08%,,,-0.16%,-0.07%,,9/17/93,13.36%,-0.3202%,-0.3213%,39.6058%,#NAME?,20.40%,#NAME?,0.0848%
9/20/93,206.43,243.46,14.60,0.28%,,,-0.86%,-0.58%,,9/20/93,13.39%,-0.1582%,-0.0734%,44.3810%,#NAME?,28.99%,#NAME?,0.2757%
9/21/93,205.92,241.61,17.30,-0.51%,,,-0.25%,-0.76%,,9/21/93,14.60%,-0.8597%,-0.5839%,25.1233%,#NAME?,10.80%,#NAME?,-0.5128%
9/22/93,207.83,243.18,13.75,-0.28%,,,0.93%,0.65%,,9/22/93,17.30%,-0.2471%,-0.7599%,41.7481%,#NAME?,13.63%,#NAME?,-0.2777%
9/23/93,209.35,243.41,13.36,-0.64%,,,0.73%,0.09%,,9/23/93,13.75%,0.9275%,0.6498%,75.1117%,#NAME?,73.04%,#NAME?,-0.6368%
9/24/93,209.35,243.52,12.47,0.05%,,,0.00%,0.05%,,9/24/93,13.36%,0.7314%,0.0946%,70.1935%,#NAME?,50.69%,#NAME?,0.0452%
9/27/93,211.17,245.57,12.49,-0.03%,,,0.87%,0.84%,,9/27/93,12.47%,0.0000%,0.0452%,49.1258%,#NAME?,36.66%,#NAME?,-0.0275%
9/28/93,210.80,246.15,12.19,0.41%,,,-0.18%,0.24%,,9/28/93,12.49%,0.8694%,0.8418%,73.6992%,#NAME?,75.93%,#NAME?,0.4114%
9/29/93,210.05,245.79,12.63,0.21%,,,-0.36%,-0.15%,,9/29/93,12.19%,-0.1752%,0.2362%,43.8754%,#NAME?,34.25%,#NAME?,0.2095%
9/30/93,209.60,245.10,12.99,-0.07%,,,-0.21%,-0.28%,,9/30/93,12.63%,-0.3558%,-0.1463%,38.5759%,#NAME?,23.02%,#NAME?,-0.0665%
10/1/93,209.98,246.64,11.83,0.45%,,,0.18%,0.63%,,10/1/93,12.99%,-0.2142%,-0.2807%,42.7174%,#NAME?,22.90%,#NAME?,0.4470%
10/4/93,210.16,246.43,12.85,-0.17%,,,0.09%,-0.09%,,10/4/93,11.83%,0.1813%,0.6283%,54.5735%,#NAME?,53.75%,#NAME?,-0.1709%
10/5/93,210.07,245.94,12.97,-0.16%,,,-0.04%,-0.20%,,10/5/93,12.85%,0.0857%,-0.0851%,51.7058%,#NAME?,34.35%,#NAME?,-0.1560%
10/6/93,209.78,245.65,12.68,0.02%,,,-0.14%,-0.12%,,10/6/93,12.97%,-0.0428%,-0.1988%,47.8376%,#NAME?,28.05%,#NAME?,0.0201%
10/7/93,209.25,244.47,13.14,-0.23%,,,-0.25%,-0.48%,,10/7/93,12.68%,-0.1380%,-0.1179%,44.9832%,#NAME?,28.33%,#NAME?,-0.2277%
10/8/93,209.87,244.65,12.04,-0.22%,,,0.30%,0.07%,,10/8/93,13.14%,-0.2526%,-0.4804%,41.5835%,#NAME?,18.27%,#NAME?,-0.2227%
10/11/93,211.00,244.12,12.26,-0.76%,,,0.54%,-0.22%,,10/11/93,12.04%,0.2963%,0.0736%,57.9913%,#NAME?,44.81%,#NAME?,-0.7551%
10/12/93,211.40,244.57,12.41,-0.01%,,,0.19%,0.18%,,10/12/93,12.26%,0.5384%,-0.2166%,64.9653%,#NAME?,33.13%,#NAME?,-0.0052%
10/13/93,212.13,244.45,11.38,-0.39%,,,0.35%,-0.05%,,10/13/93,12.41%,0.1896%,0.1843%,54.8209%,#NAME?,46.37%,#NAME?,-0.3944%
10/14/93,215.59,245.88,11.00,-1.05%,,,1.63%,0.58%,,10/14/93,11.38%,0.3453%,-0.0491%,59.4316%,#NAME?,39.82%,#NAME?,-1.0461%
10/15/93,217.12,246.07,10.87,-0.63%,,,0.71%,0.08%,,10/15/93,11.00%,1.6311%,0.5850%,88.6647%,#NAME?,75.17%,#NAME?,-0.6324%
10/18/93,216.59,244.76,11.33,-0.29%,,,-0.24%,-0.53%,,10/18/93,10.87%,0.7097%,0.0773%,69.6237%,#NAME?,49.61%,#NAME?,-0.2883%
10/19/93,214.55,243.75,11.61,0.53%,,,-0.94%,-0.41%,,10/19/93,11.33%,-0.2441%,-0.5324%,41.8351%,#NAME?,17.39%,#NAME?,0.5292%
10/20/93,214.13,243.75,11.32,0.20%,,,-0.20%,0.00%,,10/20/93,11.61%,-0.9419%,-0.4126%,23.1887%,#NAME?,11.42%,#NAME?,0.1958%
10/21/93,214.15,243.36,11.20,-0.17%,,,0.01%,-0.16%,,10/21/93,11.32%,-0.1958%,0.0000%,43.2650%,#NAME?,29.73%,#NAME?,-0.1693%
10/22/93,212.98,243.03,11.48,0.41%,,,-0.55%,-0.14%,,10/22/93,11.20%,0.0093%,-0.1600%,49.4070%,#NAME?,30.24%,#NAME?,0.4107%
10/25/93,213.40,242.81,11.83,-0.29%,,,0.20%,-0.09%,,10/25/93,11.48%,-0.5463%,-0.1356%,33.2077%,#NAME?,19.46%,#NAME?,-0.2877%
10/26/93,213.00,242.89,11.83,0.22%,,,-0.19%,0.03%,,10/26/93,11.83%,0.1972%,-0.0905%,55.0488%,#NAME?,36.04%,#NAME?,0.2204%
10/27/93,213.62,243.04,12.01,-0.23%,,,0.29%,0.06%,,10/27/93,11.83%,-0.1874%,0.0329%,43.5119%,#NAME?,30.66%,#NAME?,-0.2293%
10/28/93,214.82,244.55,11.88,0.06%,,,0.56%,0.62%,,10/28/93,12.01%,0.2911%,0.0618%,57.8373%,#NAME?,44.21%,#NAME?,0.0596%
